scenario,var,id,val,pos
-0.1,SSAT,MVNI000029,0.4239,ld1
-0.1,SRGF,MVNI000030,0.81,ld1
-0.1,SSKS,MVNI000031,0.369,ld1
-0.1,SBDM,MVNI000032,1.197,ld1
-0.1,SLOC,MVNI000033,1.53,ld1
-0.1,SLCL,MVNI000034,45,ld1
-0.1,SLSI,MVNI000035,6.3,ld1
-0.1,SLNI,MVNI000036,0.153,ld1
-0.1,SLHW,MVNI000037,4.59,ld1
-0.1,SCEC,MVNI000038,3.69,ld1
-0.1,SLB,MVNI000026,32.4,ld2
-0.1,SLLL,MVNI000027,0.1755,ld2
-0.1,SDUL,MVNI000028,0.3213,ld2
-0.1,SSAT,MVNI000029,0.45,ld2
-0.1,SRGF,MVNI000030,0.9,ld2
-0.1,SSKS,MVNI000031,0.558,ld2
-0.1,SBDM,MVNI000032,1.134,ld2
-0.1,SLOC,MVNI000033,1.08,ld2
-0.1,SLCL,MVNI000034,46.8,ld2
-0.1,SLSI,MVNI000035,8.1,ld2
-0.1,SLNI,MVNI000036,0.108,ld2
-0.1,SLHW,MVNI000037,4.41,ld2
-0.1,SCEC,MVNI000038,3.15,ld2
-0.1,SLB,MVNI000026,64.8,ld3
-0.1,SLLL,MVNI000027,0.207,ld3
-0.1,SDUL,MVNI000028,0.315,ld3
-0.1,SSAT,MVNI000029,0.5004,ld3
-0.1,SRGF,MVNI000030,0.72,ld3
-0.1,SSKS,MVNI000031,1.143,ld3
-0.1,SBDM,MVNI000032,1.008,ld3
-0.1,SLOC,MVNI000033,0.63,ld3
-0.1,SLCL,MVNI000034,49.5,ld3
-0.1,SLSI,MVNI000035,9.9,ld3
-0.1,SLNI,MVNI000036,0.063,ld3
-0.1,SLHW,MVNI000037,4.32,ld3
-0.1,SCEC,MVNI000038,1.62,ld3
-0.1,SLB,MVNI000026,91.8,ld4
-0.1,SLLL,MVNI000027,0.1926,ld4
-0.1,SDUL,MVNI000028,0.3222,ld4
-0.1,SSAT,MVNI000029,0.5346,ld4
-0.1,SRGF,MVNI000030,0.45,ld4
-0.1,SSKS,MVNI000031,1.413,ld4
-0.1,SBDM,MVNI000032,0.918,ld4
-0.1,SLOC,MVNI000033,0.45,ld4
-0.1,SLCL,MVNI000034,54,ld4
-0.1,SLSI,MVNI000035,7.2,ld4
-0.1,SLNI,MVNI000036,0.045,ld4
-0.1,SLHW,MVNI000037,4.5,ld4
-0.1,SCEC,MVNI000038,1.62,ld4
-0.1,SLB,MVNI000026,132.3,ld5
-0.1,SLLL,MVNI000027,0.1881,ld5
-0.1,SDUL,MVNI000028,0.3123,ld5
-0.1,SSAT,MVNI000029,0.4095,ld5
-0.1,SRGF,MVNI000030,0.18,ld5
-0.1,SSKS,MVNI000031,0.342,ld5
-0.1,SBDM,MVNI000032,1.26,ld5
-0.1,SLOC,MVNI000033,0.27,ld5
-0.1,SLCL,MVNI000034,53.1,ld5
-0.1,SLSI,MVNI000035,7.2,ld5
-0.1,SLNI,MVNI000036,0.027,ld5
-0.1,SLHW,MVNI000037,5.13,ld5
-0.1,SCEC,MVNI000038,1.62,ld5
